DATES CRECIMIENTO,DATES,Average of GDP USA,Sum of TELECOMUNICATION,PROB,Sum of Port,Sum of Autos,Sum of Aviacion,Sum of Shipping,Sum of Electronic,Sum of Semicunductor,Sum of Seguros,Sum of Meal/Mine,Sum of Iron/Steel,Sum of Oil/Gas,Sum of Pharma
2005-2006,2005,0.049654891,0.344471203,1,0.078273858,0.012037725,0.115055828,0.078273858,1.373194408,2.049697232,11.35721307,5.022622828,0.272997969,0.079154858,0.018605049
2006-2007,2006,0.036144578,0.291752625,1,0.803152665,-0.048543115,0.04591587,0.803152665,0.137684173,0.052177736,0.538736911,1.083898124,0.1028164,0.008252983,0.073193081
2007-2008,2007,0.008538266,0.022811881,0,0.168517678,-0.105743523,0.078181295,0.168517678,0.093213922,0.042500135,0.016059196,0.278641918,0.478170328,0.309956002,0.053360751
2008-2009,2008,-0.026557099,0.027909682,0,-0.132984311,-0.484992255,-0.036611705,-0.132984311,-0.124841768,-0.144955457,-0.184662108,-0.169377088,-0.551830518,-0.414988164,-0.024697802
2009-2010,2009,0.029110317,0.039760082,0,-0.023920795,0.605530132,0.158406705,-0.023920795,0.169027346,0.278980795,-0.010714439,0.329923059,0.564928653,0.255067642,0.278912694
2010-2011,2010,0.029278674,0.046529254,1,0.037675211,0.106194166,0.287295458,0.037675211,0.047355581,0.210838388,0.111959659,0.205502982,0.20689126,0.273124136,0.016697655
2011-2012,2011,0.034809491,0.043767566,0,0.008444568,-0.00182835,0.051748364,0.008444568,0.07461439,0.043735323,0.190350065,-0.079749989,-0.02553335,-0.025265552,-0.03592831
2012-2013,2012,0.029273687,-0.041695405,0,0.027045314,0.053831581,0.023244384,0.027045314,0.073789449,0.037360663,-0.117169767,-0.025799833,-0.072719933,-0.076271304,-0.021568459
2013-2014,2013,0.036771774,0.086372448,1,4.337728823,0.011687673,0.177597532,4.337728823,0.058722401,0.058885863,0.016326902,-0.061585865,0.078850511,-0.041749153,0.006545617
2014-2015,2014,0.033158813,0.048716286,1,0.069925078,-0.005972346,-0.004331441,0.069925078,0.003265887,-0.013018094,-0.018680636,-0.203335411,-0.177898756,-0.348992643,-0.01689325
2015-2016,2015,0.020569398,0.096314503,1,0.058469682,0.00920021,-0.021387937,0.058469682,-0.001809486,0.010488847,-0.010720786,-0.060974814,-0.091734192,-0.22075712,0.063341168
2016-2017,2016,0.036033861,0.030962261,0,0.028733176,0.032364679,0.037756095,0.028733176,0.144201427,0.047053599,-0.029494742,0.068142675,0.201763375,0.169106177,0.050857709
2017-2018,2017,0.049125493,0.050540461,1,0.029664132,0.048433886,0.065924701,0.029664132,0.028079645,0.089303118,0.07016561,0.093651661,0.190502003,0.193801151,0.080210607
2018-2019,2018,0.03484923,0.036426514,0,0.01268685,-0.00920954,0.04184988,0.01268685,-0.065056453,0.000497904,-0.024885336,-0.034540569,-0.049325471,-0.086686889,0.025932945
2019-2020,2019,0.032101924,-0.428025352,0,-0.572839955,-0.537538324,-0.719600972,-0.572839955,-0.380840367,-0.301923645,-0.435224798,-0.36195027,-0.559712133,-0.574886072,-0.3574921
